Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,feedIdString,feedDecimals,maxStaleness
ARB,USD,RedStone Core,No,No,RedstoneCoreOracle,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,0x0000000000000000000000000000000000000348,ARB,8,120
OP,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,OP,8,120
CELO,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,CELO,8,120
BRL,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,BRL,8,120
EUR,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,EUR,8,120
CELO,EUR,RedStone Core,No,No,RedstoneCoreOracle,N/A,N/A,CELO/EUR,8,120
CELO,BRL,RedStone Core,No,No,RedstoneCoreOracle,N/A,N/A,CELO/BRL,8,120
USDC,EUR,RedStone Core,No,No,RedstoneCoreOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,N/A,USDC/EUR,8,120
USDC,BRL,RedStone Core,No,No,RedstoneCoreOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,N/A,USDC/BRL,8,120
EURC,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,0x0000000000000000000000000000000000000348,EUROC,8,120
EURC,EUR,RedStone Core,No,No,RedstoneCoreOracle,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,N/A,EUROC/EUR,8,120
AVAX,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,AVAX,8,120
ALUSD,USD,RedStone Core,No,No,RedstoneCoreOracle,0xBC6DA0FE9aD5f3b0d58160288917AA56653660E9,0x0000000000000000000000000000000000000348,ALUSD,8,120
ETH,USDC,RedStone Core,No,No,RedstoneCoreOracle,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ETH/USDC,8,120
ATOM,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,ATOM,8,120
