Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
SPELL,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x3e6648c5a70a150a88bce65f4ad4d506fe15d2af,0x0000000000000000000000000000000000000348,0x383b3624478124697BEF675F07cA37570b73992f,90000
StaFi rETH,ETH (EXCHANGE RATE),Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x052d4200b624b07262F574af26C71A6553996Ab5,90000
STETH,ETH,Chainlink,Yes,No,86400,1,ChainlinkOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xded2c52b75B24732e9107377B7Ba93eC1fFa4BAf,90000
STETH,USD,Chainlink,No,No,86400,0.3,ChainlinkOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348,0x07C5b924399cc23c24a95c8743DE4006a32b7f2a,90000
STG,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x6694340fc020c5E6B96567843da2df01b2CE1eb6,0x0000000000000000000000000000000000000348,0xe74d69E233faB0d8F48921f2D93aDfDe44cEb3B7,90000
sUSDe,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,0xf2215b9c35b1697B5f47e407c917a40D055E68d7,90000
sUSDe,USDe (EXCHANGE RATE),Chainlink,No,No,86400,0.5,ChainlinkOracle,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x605EA726F0259a30db5b7c9ef39Df9fE78665C44,90000
SUSHI,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,0xd4d42F0b6DEF4CE0383636770eF773390d85c61A,0x0000000000000000000000000000000000000348,0xb2A8BA74cbca38508BA1632761b56C897060147C,90000
SWETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xbc011A12Da28e8F0f528d9eE5E7039E22F91cf18,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x05Bc6e5Fb110589bb366A3Cd7CdBe143EeBA2168,90000
swETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xbc011A12Da28e8F0f528d9eE5E7039E22F91cf18,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xEcD471ef663eCEFFC7D731a0C7e51007433e6d6e,90000
TAO,USD,Chainlink,No,No,86400,2,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x6aCcBB82aF71B8a576B4C05D4aF92A83A035B991,90000
TBTC,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,0x0000000000000000000000000000000000000348,0xE808488e8627F6531bA79a13A9E0271B39abEb1C,90000
TIA,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x4096b9bfB4c34497B7a3939D4f629cf65EBf5634,90000
TUSD,USD,Chainlink,Yes,Yes,86400,0.3,ChainlinkOracle,0x4D15a3A2286D883AF0AA1B3f21367843FAc63E07,0x0000000000000000000000000000000000000348,0x6fAbee62266Da6686EE2744C6f15bb8352d2f28D,90000
UNI,USD,Chainlink,Yes,Yes,86400,0.15,ChainlinkOracle,0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,0x0000000000000000000000000000000000000348,0x9C917083fDb403ab5ADbEC26Ee294f6EcAda2720,90000
uniETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x3d15fD46CE9e551498328B1C83071D9509E2C3a0,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xF18BE32dB91591A7256d738C166FA195a17457DA,90000
USD+,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xe80772Eaf6e2E18B651F160Bc9158b2A5caFCA65,0x0000000000000000000000000000000000000348,0x6548a81E640C000150e06AB413fB3F772682e9c5,90000
USDC,USD,Chainlink,Yes,Yes,86400,0.1,ChainlinkOracle,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x0000000000000000000000000000000000000348,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,90000
USDD,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x680447595e8b7b3Aa1B43beB9f6098C79ac2Ab3f,0x0000000000000000000000000000000000000348,0x4Ee1f9ec1048979930aC832a3C1d18a0b4955a02,90000
USDe,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,0x88AC7Bca36567525A866138F03a6F6844868E0Bc,90000
